DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;El Ombu Club;El club ofrece diversas actividades deportivas, como canchas de tenis, paddle, fútbol y hockey, además de un edificio polideportivo con básquet y fútbol 5. También cuenta con un house central con servicios de bar y restaurante, salón para juegos de mesa y lectura, y servicio de guardia permanente.;CALLE 27 Nº 302, City Bell, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Argentino Juvenil;institución donde se realizan actividades culturales y deportivas diversas;CALLE 21 y 465, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club San Lorenzo de Villa Castells;club de fútbol;CALLE 7 y 485, Savoia, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 32;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 131 y 510, José Hernández, La Plata, Buenos Aires;José Hernández;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº93;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 510 y 132 BIS, José Hernández, La Plata, Buenos Aires;José Hernández;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO SANTA ANA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;C. 31 2379, B1900 La Plata, Provincia de Buenos Aires;José Hernández;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO POLIMODAL CENIT;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;C. 511 3243-3299, B1912 La Plata, Provincia de Buenos Aires;José Hernández;;ZONA NORTE
SEGURIDAD;Subcomisariía;SUBCOMISARÍA HERNÁNDEZ;"Las Subcomisarías funcionarán con dependencia directa de la Comisaría. A su vez tienen bajo su dependencia a los destacamentos y Puestos de Vigilancia ubicados
en la jurisdicción del radio que abarque directamente aquella dependencia.";CALLE 511 e/ 29 y 30, José Hernández, La Plata, Buenos Aires;José Hernández;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Centro de Fomento Social y Deportivo José Hernández;institución donde se realizan actividades culturales y deportivas diversas;CALLE 131 e/ 511 y 512, José Hernández, La Plata, Buenos Aires ;José Hernández;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""19 DE NOVIEMBRE""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 518 ESQ. 141, José Hernández, La Plata, Buenos Aires ;José Hernández;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº37;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 139 e/ 485 y 483, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº59;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 11 y 491, Villa Castells, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO SAN JOSÉ OBRERO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 505 y 10, Villa Castells, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO BOSQUE DEL PLATA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 19 e/ 511 y 514, Manuel B. Gonnet, La Plata, Buenos Aires ;Manuel B. Gonnet;;ZONA NORTE
PROTECCION ESPECIAL;Hogar Convivencial;ESOS LOCOS BAJITOS;Hogar convivencial mixto hasta 12 años. Fue creado para brindar ayuda solidaria a NNyA que se encuentren por diferentes motivos en situación de vulnerabilidad, desprotección familiar o social. Abordaje integral inclusivo y comunitario de NNyA sin cuidados parentales. Este proyecto está destinado a NNyA entre 0 y 13 años, pudiendo ingresar por acuerdo con el Servicio Zonal La Plata adolescentes de más de 12 años (por ejemplo para no separar grupos de hermanos). Dentro del mismo proyecto vienen trabajando con 5 NNyA en situación de discapacidad desde una perspectiva de inclusión plena.;CALLE 508 e/ 9 y 11, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA GONET- CITY BELL;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CAMINO GRAL. BELGRANO y 502 , Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA–HERNÁNDEZ GORINA;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 25 e/ 512 y 513, Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
SALUD ADOLESCENTE;Espacios terapeúticos;HOSPITAL INTERZONAL GENERAL DE AGUDOS. SAN ROQUE;Es una institución pública interzonal, general de agudos que depende del Ministerio de Salud de la Provincia de Buenos Aires.;CALLE 508 e/ 18 y 19, Gonnet, La Plata, Buenso Aires;Manuel B. Gonnet;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 28;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 10 y 491, Manuel B. Gonnet, La Plata, Buenos Aires ;Manuel B. Gonnet;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 29;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;REPÚBLICA DE LOS NIÑOS, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 495 e/ CAMINO CENTENARIO y 15 BIS, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA N°69;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CAMINO CENTENARIO 13 e/ 511 y 512, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº75;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 487 N° 3006, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº83 ""EVA DUARTE DE PERÓN""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;"CALLE 495 N° 3006, Manuel B Gonnet; La Plata, Buenos Aires";Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO CRISOL;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 501 e/ 28 y 30, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;INSTITUTO RAICES DE GONNET;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 505 N° 3096, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ALBORES ESCUELA SECUNDARIA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 514 NRO. 2640,Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO CEDI;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 421 ESQ. 3, Villa Elisa, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;AIRE LIBRE, NIVEL SECUNDARIO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 508 y 22, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO MARIE CURIE;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 504 N° 2762, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO DEL CLUB UNIVERSITARIO DE LA PLATA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 14 N° 3199, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº461;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 495 e/ CAMINO CENTENARIO y 15 BIS, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;CENTRO DE FORMACIÓN PROFESIONAL Nº427;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;CALLE 485 N° 4034, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 13°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;CALLE 502 y 15, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Inmaculada Madre de Dios;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 502 N° 2067, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Madre de la Divina Gracia;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 23 e/ 485 y 486, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IGLESIA ENVIADOS POR DIOS (Una Nueva Vision);realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 519 y 22, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Universitario de La Plata;institución donde se realizan actividades culturales y deportivas diversas;CALLE 14 Nº 3199, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;ADAFI;A.D.A.F.I., en Gonnet, es la Asociación Deportiva Anunciación de Fútbol Infantil;CALLE 18 e/ 507 y 508, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club ADIP;Club de fútbol platense formativo, que busca transmitir y destacar valores deportivos, culturales y sociales desde las primeras etapas de la niñez;CALLE 485 Nº 1202, Manuel B. Gonnet, La Plata, Buenos Aires;Manuel B. Gonnet;;ZONA NORTE
PROTECCION ESPECIAL;Autonomía Joven;ASOCIACIÓN CIVIL RED URBANA DE ESTRATEGIAS DE ABORDAJE TERRITORIAL (R.U.E.D.A.T.);Coordina Equipo Tecnico territorial para el Programa de Autonomía joven;CALLE 518 BIS N° 1139, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA– TOLOSA RINGUELET;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 7 e/ 511 y 512 , Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA– TOLOSA RINGUELET 2;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 7 y 516, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 25;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 514 y 12, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº85;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 2 BIS y 515 BIS, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº92;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 5 BIS e/ 519 y 520, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA LA ANUNCIACION DE LA SATMA.VIRGEN;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;AV. 7 e/ 513 y 514, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO NUESTRA SEÑORA DE LA ANUNCIACION;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 514 e/ 7 y 8, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;EL PUENTE ARTE Y CULTURA;Es un emprendimiento colectivo formado por trabajadores de la cultura de distintas disciplinas y ámbitos, cuyos objetivos son acercar al arte, en sus diversas expresiones, a todo tipo de públicos. Desde el año 2012 se constituyen equipos de trabajo y estudio para cada proyecto conforme las necesidades apuntando a la participación activa. Nuestro eje central de trabajo es la coordinación, cooperación y coproducción con colectivos de artistas y gestores culturales de la ciudad, como así también con los estados municipales, provinciales y nacional. Dentro de sus proyectos los ámbitos de contexto de encierro han sido objeto de investigación e intervención activa desarrollando programas en Unidades carcelarias del SPB y en el ámbito de Responsabilidad Penal Juvenil en convenio con el Organismo de Niñez y Adolescencia de la Prov. de Bs A través de distintas propuestas como presentación de distintos espectáculos artísticos, producción de fetsivales, publicación de materiales literarios, realización de cortos se han ido generando contenidos que capitalizan y aportan a la profundización de las propuestas;CALLE 519 N° 1456, Ringuelet, La Plata, Provincia de Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;EL REFUGIO DEL PUENTE ASOCIACIÓN CIVIL,;Centro comunitario de acompañamiento a las familias, comedor, apoyo a nnya;CALLE 115 e/ 514 y 515, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;EL REFUGIO DEL PUENTE ASOCIACIÓN CIVIL;Es una asociación civil que posee comedor y brinda clases de apoyo escolar.;CALLE 115 e/ 514 y 515, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;INSTITUCIÓN EL PUENTE ARTE Y CULTURA;Se desarrollan las actividades en los Centros Cerrados donde se dispone de los espacios físicos designados por las Áreas Educativas o Dirección disponibles según las circunstancias del dia. (aula, SUM, comedor del pabellón, recreaciones, etc) Sería ampliamente beneficioso disponer de un espacio destinado a las actividades culturales que se pueda adaptar de acuerdo a la `propuesta (teatro/Cine/ espacio de creación) y que tenga acceso a un espacio a cielo abierto. Todo el equipamiento necesario para los talleres lo pone la organización a saber: computadora/ cañón de proyección/ sonido/mic/ grabadora de sonido/ cámaras fotográficas/ luces para filmar/ vestuarios etc., como todo aquello que sea necesario para las producciones proyectadas.;CALLE 519 N° 1456, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede Ringuelet;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 115 e/ 515 y 516, Ringuelet, La Plata;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Nuestra Señora de la Anunciación;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 514 e/ 7 y 8, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;"""Iglesia Cristo Reina""";realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 507 N° 1086, Ringuelet, La Plata, Buenos Aires;Ringuelet;;ZONA NORTE
PROTECCION ESPECIAL;Hogar Convivencial;HOGAR CONVIVENCIAL PARA MUJERES;Es un dispositivo de alojamiento temporal y protección dirigido a mujeres, sus hijas y/o hijos, que se encuentran en situaciones de vulnerabilidad social y/o violencia de género;AV. 19 e/ 527 y 528, Tolosa, La Plata,  Buenos Aires;Tolosa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 27;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 526 e/ 24 y 25, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 9;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 528 BIS y 2 BIS, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 14;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 16 e/ 529 y 530, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 15;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;AV. 520 y 118, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SALUD ADOLESCENTE;CPA;CENTRO PROVINCIAL DE ATENCIÓN;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CALLEE 3 y 526, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 531 e/ 515 y 515 BIS, Tolosa, La Plata, Buenos Aires ;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 526 y 24, Tolosa, La Plata, Buenos Aires ;Tolosa;;ZONA NORTE
